code,name,ability,imageUrl,deckId,kind,bgg_search
A085,자택 경비원,우리와 밭에 동시에 인접한 흙방이나 돌방 딱 1개에 추가로 가족 1명을 더 수용할 수 있습니다.,,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Homekeeper
A086,가축 조련사,이 카드를 내려놓으면 즉시 <WOOD> 1개나 <GRAIN> 1개를 가져옵니다. 집에 있는 방 1개마다 가축 1마리씩을 키울 수 있습니다. 방마다 서로 다른 가축을 키워도 됩니다.,,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Animal+Tamer
A087,재산 관리인,나무집을 바로 돌집으로 고칠 수 있습니다. 흙집으로 고치는 과정이 필요하지 않습니다. 돌집으로 고치는 비용은 정상적으로 냅니다.,,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Conservator
A088,산울타리지기,"울타리 치기  행동을 할 때, 울타리 3개는 <WOOD>를 내지 않고 칠 수 있습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Hedge+Keeper
A089,외양간 설계사,"현재 라운드에 3, 6, 9를 더한 라운드 칸에 외양간 1개씩을 놓을 수 있습니다. 각 칸마다 놓을지 말지 따로 결정합니다. 해당 라운드가 시작될 때마다, 이 외양간을 비용을 내지 않고 지을 수 있습니다. 해당 라운드가 되기 전에는 사용할 수 없습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Stable+Planner
A090,쟁기 몰이꾼,"돌집에 살고 있다면, 매 라운드가 시작될 때, <FOOD> 1개를 내고 밭 1개를 일굴 수 있습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Plow+Driver
A091,이동 경작가,"나무 누적 칸을 이용할 때, <FOOD> 3개를 내고 밭 1개를 일굴 수 있습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Shifting+Cultivator
A092,양부모,"<FOOD> 1개를 내고 새로 생긴 자식을 해당 라운드에 바로 행동시킬 수 있습니다. 이 경우 이 자식은 ""신생아""로 보지 않습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Adoptive+Parents
A093,침대 제작자,"방을 만들 때마다, <WOOD> 1개와 <GRAIN> 1개를 추가로 내고 즉시  빈 방이 있어야만 가족 늘리기  행동을 할 수 있습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Bed+Maker
A094,게으른 파종꾼,"내 차례에 조건 없는  씨 뿌리기  행동을 하지 않고 넘길 때마다, 즉시 내 가족 말 하나를 (고른 칸이 이미 차 있어도) 원하는 행동 칸에 놓아 이용할 수 있습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Lazy+Sowman
A095,낚시광,"2개 이하의 <FOOD>이 놓인  낚시  누적 칸을 이용할 때마다, 그 직후에 즉시  주요 설비나 보조 설비  행동을 얻습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Angler
A096,기능 장인,"이 카드를 놓을 때, 그리고 라운드 준비 단계에 돌 누적 칸이 라운드 칸에 나타날 때마다, <WOOD> 1개를 가져오고  보조 설비  행동을 얻습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Task+Artisan
A097,신입생,"차례마다 1번만,  빵 굽기  행동을 얻을 때, 행동을 하는 대신 직업 1개를 비용을 내지 않고 내려놓을 수 있습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Freshman
A098,외양간 건축가,"점수를 계산할 때, 농장판의 울타리 치지 않은 외양간마다 추가 <SCORE> 1점을 받습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Stable+Architect
A099,방목하는 사람,"점수를 계산할 때, 농장 3칸 이상을 차지하는 우리 1개마다 추가 <SCORE> 2점을 받습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Fellow+Grazer
A100,큐레이터,"매 라운드의 집에 돌아오기 단계에서, 누적 칸에서 내 가족 말이 3개 이상 돌아왔다면, <FOOD> 1개를 내고 추가 <SCORE> 1점을 받을 수 있습니다.",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Curator
A101,조리 도구상,"점수를 계산할 때, 내려놓은 화로 계열 설비마다 추가 <SCORE> 1점을 받습니다. (가마는 화로 계열 설비로 간주하지 않습니다)",,a,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Cookery+Outfitter
