code,name,ability,imageUrl,deckId,kind,bgg_search
B085,#N/A,번역 결과 없음,,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Farm+Hand
B086,송로버섯 채취꾼,이 카드 위에 <PIG>를 키울 수 있습니다. 이 카드 위에 키울 수 있는 멧돼지의 최대 수는 지금까지 완료된 가족 먹여살리기 단계 횟수와 같습니다.,,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Truffle+Searcher
B087,오두막집살이,"날품팔이  행동 칸을 이용하면, 비용을 내고 방 1개를 만들거나 집을 고칠 수 있습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Cottager
B088,설립자,집에 정확히 방이 2개 있다면 건축 자원을 내지 않고 즉시 집을 고칠 수 있습니다. 이 경우 집을 고친 뒤 즉시  울타리 치기   행동을 할 수 있습니다.,,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Established+Person
B089,마부,"이 카드를 내려놓으면 즉시 <WOOD> 1개를 가져옵니다. 돌집에 살고 있다면, 매 라운드가 시작될 때마다 <WOOD> 1개를 내고 외양간 1개를 지을 수 있습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Groom
B090,협력 쟁기꾼,"곡식 종자  칸이 차 있을 때  농지  행동 칸을 이용하면, 밭 1개를 추가로 일굴 수 있습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Cooperative+Plower
B091,보조 경작자,"날품팔이  행동 칸을 이용할 때, 밭 1개를 일굴 수 있습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Assistant+Tiller
B092,뜨개질하는 사람,"5라운드부터,  양 시장  누적 칸을 이용할 때마다  빈 방이 있어야만 가족 늘리기  행동도 할 수 있습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Little+Stick+Knitter
B093,절친,"다음 라운드 칸 2, 3, 또는 4개에 개인 창고에서 <FOOD> 1개씩을 가져와 놓습니다. 해당 라운드가 시작될 때 이 <FOOD>을 돌려받고  씨 뿌리기 나  울타리 치기  행동 중 하나를 골라 얻습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Confidant
B094,가축 보호자,"울타리  행동 칸을 이용하기 전에, <WOOD> 2개를 가져옵니다.  울타리  행동 칸 이용을 마치면 즉시 다른 가족 말 1개를 놓을 수 있습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Stock+Protector
B095,숙련 벽돌공,주요 설비를 지을 때마다 초기 집에 추가로 지은 방의 수만큼 <STONE>을 적게 냅니다.,,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Master+Bricklayer
B096,나무 농장 가구공,"다음 2개의 홀수 라운드 칸 각각 <WOOD> 1개씩을 놓습니다. 해당 라운드가 시작될 때마다 이 <WOOD>를 가져오고, 즉시  보조 설비  행동을 할 수 있습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Tree+Farm+Joiner
B097,학자,"돌집에 살고 있다면, 매 라운드가 시작될 때마다 직업이나 설비를 1개 내려놓을 수 있습니다. 직업을 내려놓으려면 <FOOD> 1개를 내고, 설비를 내려놓으려면 해당 비용을 냅니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Scholar
B098,유기 농부,"점수를 계산할 때, 가축이 있으면서 가축을 3마리 이상 더 놓을 수 있는 우리마다 추가 <SCORE> 1점을 받습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Organic+Farmer
B099,가정교사,"[green][tip] 나무는 방을 만들거나, 울타리를 치거나, 외양간을 짓는 등 여러 행동에 쓰이기 때문에 경쟁이 가장 치열한 자원으로 꼽힙니다.[/green]",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Tutor
B100,어지럽히는 사람,"점수를 계산할 때, 이 카드 이후에 내려놓은 '누적 칸'이라는 문구가 있는 카드마다 추가 <SCORE> 1점씩을 받습니다.",,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Clutterer
B101,#N/A,번역 결과 없음,,b,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Furniture+Carpenter
