code,name,ability,imageUrl,deckId,kind,bgg_search
C085,은신처 건축가,"게임 중 한 번, 흙집이나 돌집에 살고 있을 때 <GRAIN> 1개와 <FOOD> 2개를 낼 수 있습니다. 그렇게 한다면, 남은 게임 동안 이 카드는 가족 구성원 1명을 위한 방을 제공합니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Den+Builder
C086,가축 먹이는 사람,"이 카드를 놓을 때, 즉시 <GRAIN> 1개를 받습니다. 갖고 있는 <GRAIN> 수만큼 이 카드 위에 가축을 키울 수 있습니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Livestock+Feeder
C087,석공,"이 카드 위에 돌집 방 1개를 놓습니다. 게임 중 1번, 방이 4개 이상 있는 돌집을 가지고 있을 때 아무 때나, 건축 자원을 내지 않고 이 카드 위의 방을 만들 수 있습니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Mason
C088,목수 견습생,"나무집에 방을 만들 때, <WOOD> 2개를 적게 냅니다. 3/4번째 외양간을 지을 때, <WOOD> 1개씩을 적게 냅니다. 13~15번째 울타리를 칠 때, 비용을 내지 않습니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Carpenter's+Apprentice
C089,외양간 짓기 명수,이 카드를 내려놓으면 즉시 <WOOD> 1개를 내고 외양간 1개를 지을 수 있습니다. 울타리 치지 않은 외양간 중 1개에 한 종류의 가축 3마리까지를 키울 수 있습니다.,,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Stable+Master
C090,밭일 감독,"곡식 종자  행동 칸을 이용할 때, 밭 1개를 일굴 수 있습니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Field+Watchman
C091,쟁기의 영웅,"라운드의 첫 가족 구성원으로   농지 나  밭 농사  행동 칸을 이용하면, <FOOD> 1개를 내고 밭 1개를 추가로 일굴 수 있습니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Plow+Hero
C092,가을의 어머니,"수확을 하기 직전에, 집에 빈 방이 있다면 <FOOD> 3개를 내고  가족 늘리기  행동을 할 수 있습니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Autumn+Mother
C093,안쪽 구역 관리자,"숲 이나  흙 채굴장  누적 칸 중 하나를 이용할 때, 공동 창고에서 <STONE> 1개를 가져와 나머지 칸에 놓을 수 있습니다. 이 경우 즉시 다른 가족 구성원을 놓을 수 있습니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Inner+Districts+Director
C094,외양간 청소부,"아무 때나, 가족 말을 놓지 않고  외양간 짓기  행동을 할 수 있습니다. 이 경우 짓는 외양간당 <WOOD> 1개와 <FOOD> 1개를 내야 합니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Stable+Cleaner
C095,바구니 엮는 사람,"이 카드를 놓을 때, 즉시 <STONE> 1개와 <REED> 1개를 내고  바구니 제작소  주요 설비를 내려놓을 수 있습니다.",,c,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Basket+Weaver
