code,name,ability,imageUrl,deckId,kind,bgg_search
D085,책 읽어주는 사람,"- (이 카드를 포함해서) 당신 앞에 놓여있는 직업 카드가 6장 이상이 되면, 이 카드는 가족 구성원 1명을 위한 방을 제공합니다.  _드래프트 선택 규칙을 사용 중이면, 직업 카드가 7장 이상이 되어야 합니다. _",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Reader
D086,양 중개상,"이미 위에 가축을 키울 수 있는 카드를 제외하고, (이 카드를 포함해서) 자기 앞에 놓여있는 직업 카드 위에서 <SHEEP> 1마리씩을 키울 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Sheep+Agent
D087,건축가,"게임 중 1번, 집에 방이 5개 이상 있을 때 아무 때나, 방 1개를 비용을 내지 않고 만들 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Master+Builder
D088,풍차 장인,"즉시 <GRAIN> 1개를 가져옵니다. 울타리나 외양간을 짓거나, 방을 만들거나, 집을 고칠 때마다,  아무 종류의 건축 자원을 최대 2개까지 각각 <GRAIN> 1개씩으로 대체할 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Millwright
D089,외양간 일꾼,"울타리를 1개라도 칠 때마다, 외양간 1개를 <WOOD>를 내지 않고 지을 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Stablehand
D090,쟁기 제작자,"농지 나  밭 농사  행동 칸을 이용할 때, <FOOD> 1개로 밭 1개를 더 일굴 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Plow+Maker
D091,쟁기꾼,"현재 라운드에 4, 7, 10을 더한 라운드 칸에 밭 타일 1개씩을 놓습니다. 해당 라운드가 시작될 때마다 <FOOD> 1개를 내고 이 밭을 일굴 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Plowman
D092,아동 감찰관,"5라운드부터, 집에 빈 방이 있다면, 가족 말을 놓아 행동을 완료할 때, <SCORE> -2점을 받고 해당 가족 말로  가족 늘리기  행동을 할 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Child+Ombudsman
D093,양 감독관,"일하기 단계마다 1번, 가족 말을 놓아 행동한 뒤, <SHEEP> 1마리와 <FOOD> 2개를 내고  회합 장소  이외의 칸에 있는 다른 가족 말을 집으로 되돌릴 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Sheep+Inspector
D094,공처가,"두 번째 가족 말을 놓아  방 만들기  행동을 이용할 때마다, 첫 번째로 놓았던 가족 말이  회합 장소  이외의 칸에 있다면 집으로 되돌립니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Henpecked+Husband
D095,작업장 관리자,"이 카드를 놓을 때, 즉시 주요 설비 1개를 짓습니다. 이 주요 설비의 비용을 낼 때, 건축 자원을 종류마다 1개씩 <FOOD>으로 대신 낼 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Site+Manager
D096,가구상,"갱신: 이 카드를 내려놓으면 즉시 <WOOD> 2개를 가져옵니다. 방을 1개 이상 만들 때마다, 만든 방의 수만큼 설비를 각각 <WOOD> 1개씩을 적게 내고 짓거나 내려놓을 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Furnisher
D097,구걸하는 학생,이 카드를 내려놓으면 <BEGGING> 토큰 1개를 가져옵니다. 수확을 시작할 때 비용을 내지 않고 직업 1개를 내려놓을 수 있습니다.,,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Begging+Student
D098,거래자,14라운드의 마지막 수확 직전에 게임판에 남은 모든 건축 자원을 가져올 수 있습니다.,,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Transactor
D099,토기 그릇 제작자,"4라운드 내에 이 카드를 내려놓았다면, 마지막 수확을 마친 뒤 가족 구성원 수까지 <CLAY>을 내고 그 수만큼 추가 <SCORE>를 받을 수 있습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Earthenware+Potter
D100,영주,"점수를 계산할 때, 최대 점수인 4점을 얻은 분야마다 추가 <SCORE> 1점을 받습니다. (울타리 친 외양간 4개에도 이 점수를 받습니다)",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Lord+of+the+Manor
D101,설탕 제조업자,"곡식 활용  행동 칸을 이용한 뒤, <FOOD> 1개를 내고 추가 <SCORE> 1점을 받을 수 있습니다. 낸 <FOOD>는 곡식 활용 행동 칸에 놓습니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Sugar+Baker
D102,외양간 견본 제작자,"집에 돌아오기 단계를 시작할 때마다, 이미 지어진 외양간 1개를 개인 창고로 되돌릴 수 있습니다. 그렇게 한다면, <WOOD> 1개, <GRAIN> 1개, <FOOD> 1개를 가져오고  보조 설비  행동을 합니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Sample+Stable+Maker
D103,운하 뱃사공,"낚시 나  갈대밭  칸을 이용할 때, <FOOD> 1개를 내고 즉시 다른 가족 구성원을 이 카드에 놓을 수 있습니다. 이 경우 <STONE> 3개 또는 <GRAIN> 1개와 <VEGETABLE> 1개 중 하나를 골라 가져옵니다.",,d,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Canal+Boatman
