code,name,ability,imageUrl,deckId,kind,bgg_search
E085,숙련 무두장이,"멧돼지나 소를 음식으로 바꿀 때, 음식으로 바꾼 가축마다 가져온 음식 중 1개를 이 카드 위에 놓을 수 있습니다. 이 카드 위의 음식 수가 집에 있는 방의 수와 같다면, 이 카드는 가족 구성원 1명을 위한 방을 제공합니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Master+Tanner
E086,우리 제작자,"아무 때나, 개인 창고에서 <WOOD> 1개를 버릴 수 있습니다. 이 카드 위에 이 카드로 버린 <WOOD>마다 가축 2마리씩을 키울 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Pen+Builder
E087,집 고치기 명인,"7, 9라운드의 일하기 단계가 끝날 때, 가족 말을 놓지 않고 건축 자원 1개를 적게 내면서  집 고치기  행동을 할 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Master+Renovator
E088,울타리 치기 명인,"돌집에 살고 있다면, 매 라운드가 시작될 때, <WOOD> 2/3개를 내고 울타리를 3/4개까지 칠 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Master+Fencer
E089,가판대 제작자,"(이 카드를 포함하여) 2/3/5/7번째 직업을 내려놓은 뒤, 비용을 내지 않고 외양간 1개를 지을 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Stallwright
E090,대변 모으는 사람,"가축이 2마리 이상 새로 태어날 때마다, <FOOD> 1개를 내고 밭 1개를 일굴 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Dung+Collector
E091,쟁기 제작자,"보조 설비  행동으로도  가구 제작소  주요 설비를 지을 수 있습니다. 수확 중  가구 제작소  또는  가구 제작소 가 개선된 설비를 이용하면, <FOOD> 1개를 내고 밭 1개를 일굴 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Plow+Builder
E092,현장 의사,"게임 중 1번, 밭 타일 4개에 둘러싸인 방 2개의 집에 살고 있다면, 빈 방이 없어도  급하지 않은 가족 늘리기  행동 칸을 이용할 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Field+Doctor
E093,동기부여자,"라운드의 첫 차례마다, 빈칸이 없다면 개인 창고의 가족 말을 놓을 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Motivator
E094,예언자,"이 카드를 놓을 때, 즉시   집 고치기  행동을 얻습니다. 그 뒤,  울타리 치기  행동을 할 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Prophet
E095,방앗간지기,"즉시 비용을 내고 <BAKE> 설비 1개를 지을 수 있습니다. 다른 플레이어가  곡식 종자  행동 칸을 이용할 때마다,  빵 굽기  행동을 할 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Miller
E096,장로,"이 카드는 이 카드를 놓은 사람만 이용할 수 있는 행동 칸입니다. 이 행동 칸을 이용할 때, <GRAIN> 3개를 가져옵니다.  보조 설비  행동으로도  돌가마  주요 설비를 지을 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Elder
E097,수혜자,"이 직업이 3번째로 내려놓은 직업이라면, 즉시 <FOOD> 1개만 내고 다른 직업 1개를 내려놓고, 비용을 내고 보조 설비 1개를 내려놓습니다. 직업과 보조 설비 중 한쪽만 내려놓아도 됩니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Beneficiary
E098,신동,"이 직업이 1번째로 내려놓은 직업이라면, 이미 내려놓은 설비 수만큼 추가 <SCORE>를 받습니다. (이 카드를 내려놓은 뒤 설비를 내려놓을 때는 이 카드의 추가 점수를 받지 않습니다)",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Prodigy
E099,무관심한 부모,"수확 단계가 끝날 때마다, 돌집에 살고 있다면 추가 <SCORE> 1점을 받습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Uncaring+Parents
E100,박물관 관리인,"일하기 단계가 시작될 때, 개인 창고에 <WOOD>, <CLAY>, <REED>, <STONE>, <GRAIN>, <VEGETABLE>가 각각 1개 이상 있다면, 추가 <SCORE> 1점을 받습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Museum+Caretaker
E101,짜증나는 사람,"이 카드를 놓을 때, 남은 구간 수만큼 추가 <SCORE>를 받습니다. 더 이상 직업을 내려놓을 수 없습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Blighter
E102,매입자,"매 라운드가 시작될 때, 가족 구성원 수만큼 <FOOD>을 내고 공동 창고에서 물건 1개를 가져올 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Acquirer
E103,늑대,"이 카드 위에 <CLAY>, <WOOD>, <GRAIN>을 순서대로 쌓습니다. 맨 위에 있는 물건과 같은 종류의 물건을 가져올 때마다, 맨 위에 있는 물건을 개인 창고로 가져온 뒤 <PIG> 1마리를 가져옵니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Wolf
E104,향신료 상인,"4라운드 내에 이 카드를 내려놓았다면, 11라운드 칸에 <VEGETABLE> 3개를 놓습니다. 해당 라운드가 시작될 때 이 <VEGETABLE>를 가져옵니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Spice+Trader
E105,개척자,"이 카드는 이 카드를 놓은 사람만 이용할 수 있는 행동 칸입니다. 3~5라운드에서는  집 고치기  행동을 할 수 있습니다. 6~8라운드에서는 <VEGETABLE> 1개, <PIG> 1마리, <CATTLE> 1마리 중 하나를 골라 가져올 수 있습니다.",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Pioneer
E106,급매물 매도자,"이 카드를 놓을 때, 즉시 가족 구성원 수만큼의 건축 자원을 음식으로 바꿀 수 있습니다:",,e,occupations,https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgameaccessory&q=agricola+Emergency+Seller
